uni_id,uni,scholarship,paidfee,totalfee,total_students,int_students,perc_intern,relative_scholarship
1010,Torino,18383953,1344.67,1223.25,68422,3871,5.657537049487007,268.68482359475024
1020,Torino Politecnico,15465478,1086.65,919.64,31248,4103,13.130440348182283,494.92697132616485
2010,Piemonte Orientale,2570632,1326.97,1211.31,11745,738,6.283524904214559,218.87032779906343
4010,Bra Scienze Gastronomiche,0,10060.42,8832.71,319,85,26.645768025078368,0.0
7010,Aosta,837365,1623.7,1351.72,1059,62,5.854579792256846,790.7129367327667
1001,Genova,7488284,1431.02,1286.28,31472,2746,8.725216065073717,237.93479918657854
1201,Castellanza LIUC,199537,6680.57,6446.17,2040,46,2.2549019607843137,97.81225490196078
1202,Insubria,656904,1929.67,1859.88,9332,551,5.904414916416631,70.39262751821688
1501,Milano,8373528,1810.29,1663.21,59741,3648,6.106359116854422,140.16384057849717
1502,Milano Politecnico,12164761,1930.32,1688.15,42440,5874,13.84071630537229,286.63433081998113
1503,Milano Bocconi,3559669,10252.24,9261.8,13269,1787,13.467480593865401,268.26957570276585
1504,Milano Cattolica,8749635,5873.21,5400.88,37157,1904,5.124202707430632,235.4774335925936
1505,Milano IULM,905748,5688.99,5321.82,5216,204,3.911042944785276,173.64800613496934
1508,Milano San Raffaele,181128,7747.95,7427.73,2458,116,4.719283970707893,73.68917819365338
1509,Milano Bicocca,6621006,1384.18,1264.38,32730,1896,5.792850595783685,202.2916590284143
1510,Rozzano (MI) Humanitas University,5139,8390.93,8374.04,526,143,27.186311787072242,9.769961977186313
1601,Bergamo,2873328,1156.14,1029.28,16800,1022,6.083333333333333,171.03142857142856
1701,Brescia,4278071,1341.57,1227.61,13897,976,7.023098510469886,307.8413326617256
1801,Pavia,7251047,1728.75,1561.6,21372,1559,7.294591053715141,339.27788695489426
2101,Bolzano,2117790,1167.34,750.97,3293,482,14.637109019131492,643.1187367142423
2201,Trento,6414369,1463.17,1187.52,16161,783,4.844997215518841,396.90421384815295
2301,Verona,6088835,1488.88,1332.46,23113,1217,5.265435036559512,263.4376757668844
2701,Venezia C Foscari,5573952,1544.52,1347.72,19819,1049,5.292900751803825,281.2428477723397
2702,Venezia Iuav,1181693,1862.23,1629.33,4144,231,5.574324324324325,285.1575772200772
2801,Padova,15038828,1548.23,1386.61,58019,2500,4.308933280477085,259.2052258742826
3001,Udine,5912964,1477.7,1244.3,15025,941,6.262895174708818,393.54169717138103
3201,Trieste,6813980,1312.03,1100.78,14840,1206,8.126684636118599,459.16307277628033
3401,Parma,11018209,1180.49,1025.06,23887,1488,6.229329760957843,461.26382551178466
3601,Modena e Reggio Emilia,9857766,1521.04,1308.39,22160,1261,5.69043321299639,444.84503610108305
3701,Bologna,42983328,1558.66,1302.78,78523,5491,6.992855596449448,547.3979343631802
3801,Ferrara,5562156,1121.86,1001.08,15559,856,5.501638922809949,357.4880133684684
4101,Urbino,4743988,1360.61,1133.79,13947,900,6.453000645300064,340.14397361439734
4201,Marche,3692190,1053.64,857.6,15314,668,4.362021679508946,241.09899438422357
4301,Macerata,2565397,895.76,750.3,10187,455,4.466476882300972,251.83047020712672
4302,Camerino,2745046,383.33,0.17,6940,616,8.87608069164265,395.53976945244955
4801,Firenze,13355545,1001.37,910.92,51069,3693,7.231392821476826,261.51961072274764
5001,Pisa,15735589,1112.58,943.57,45217,1723,3.810513744830484,348.00161443704803
5201,Siena,8707903,1637.2,1384.85,15465,1220,7.888781118655028,563.071645651471
5202,Siena Stranieri,1770154,1740.09,1238.25,1883,227,12.05523101433882,940.0711630377058
5401,Perugia,12948147,1154.59,974.75,22947,1254,5.46476663616159,564.2631716564257
5403,Perugia Stranieri,1431557,910.61,558.32,881,341,38.70601589103292,1624.922814982974
5601,Tuscia,2139648,1035.52,793.4,8016,198,2.470059880239521,266.92215568862275
5801,Roma La Sapienza,32655318,1163.56,1035.12,100392,5886,5.863016973464021,325.2780898876405
5802,Roma Tor Vergata,8386347,1328.81,1211.18,29550,1701,5.756345177664975,283.80192893401016
5803,Roma LUMSA,1053252,4105.36,4030.94,5616,273,4.861111111111111,187.5448717948718
5805,Roma LUISS,1381259,9131.81,8723.6,8670,149,1.7185697808535179,159.3147635524798
5806,Roma Foro Italico,699986,1033.47,939.65,2194,45,2.0510483135824975,319.0455788514129
5807,Roma Tre,7028271,979.5,905.78,32421,1445,4.4569877548502514,216.7814379568798
5808,Roma Biomedico,180019,7395.11,7184.19,1682,11,0.6539833531510107,107.02675386444709
5809,Roma UNINT,541267,5051.74,4399.12,1352,67,4.955621301775148,400.3454142011834
5810,Roma Marconi - telematica,10644,1449.38,1404.51,9432,150,1.5903307888040712,1.1284987277353689
5811,Roma UNITELMA - telematica,7431,1316.48,1179.71,1493,16,1.071667782987274,4.97722705961152
5812,Roma Europea,40342,5177.29,5025.94,840,19,2.261904761904762,48.02619047619048
5813,Roma UNINETTUNO - telematica,25456,1621.38,765.35,10520,344,3.2699619771863118,2.419771863117871
5815,Roma UNICUSANO - telematica,30334,2193.34,2064.94,20740,298,1.4368370298939248,1.4625843780135004
