uni_id,uni,scholarship,paidfee,totalfee,total_students,int_students,perc_intern,relative_scholarship
1010,Torino,14573831,"1374,95","1275,1",66350,3708,5.588545591559909,219.6508063300678
1020,Torino Politecnico,14180917,"1093,96","948,63",30740,4341,14.121665582303189,461.31805465191934
2010,Piemonte Orientale,2045905,"1314,37","1230,55",10769,677,6.286563283498932,189.9809638777974
4010,Bra Scienze Gastronomiche,0,"10307,32","8798,04",322,77,23.91304347826087,0.0
7010,Aosta,894297,"1356,28","1187,87",1118,55,4.919499105545617,799.9078711985688
1001,Genova,8976652,"1445,01","1319,39",31375,2617,8.341035856573706,286.10843027888444
1201,Castellanza LIUC,235540,"6716,98","6515,16",1951,41,2.1014864172219374,120.72783188108662
1202,Insubria,679317,"1871,42","1816,21",8876,524,5.903560162235241,76.53413699864804
1501,Milano,10132164,"1745,93","1639,18",60451,3470,5.7401862665630015,167.60953499528543
1502,Milano Politecnico,11932463,"2102,38","1911,13",40780,4896,12.005885237861698,292.60576262873957
1503,Milano Bocconi,4432372,"10166,2","9234,32",13245,1482,11.189127972819932,334.6449226123065
1504,Milano Cattolica,10382215,"5207,5","4819,32",36507,1754,4.804558029966856,284.38970608376474
1505,Milano IULM,869572,5588,"5267,05",4664,201,4.309605488850772,186.4433962264151
1508,Milano San Raffaele,233519,"7934,58","7707,13",2323,109,4.69220835126991,100.52475247524752
1509,Milano Bicocca,6179007,"1345,25","1236,69",32094,1850,5.7643173178787315,192.52841652645355
1510,Rozzano (MI) Humanitas University,5073,"7860,27","7813,76",346,88,25.433526011560694,14.66184971098266
1601,Bergamo,3120986,"1188,95","1074,56",15635,898,5.743524144547489,199.61535017588744
1701,Brescia,4528593,"1281,26","1186,79",13973,959,6.863236241322551,324.0959708008302
1801,Pavia,6335675,"1651,64","1525,36",21077,1471,6.979171608862742,300.596621910139
2101,Bolzano,2101618,"1176,23","754,26",3028,475,15.686922060766182,694.06142668428
2201,Trento,6515005,"1408,93","1151,04",16242,851,5.239502524319665,401.12085950006156
2301,Verona,5012226,"1473,38","1346,6",22682,1182,5.211180671898422,220.97813243982011
2701,Venezia C Foscari,5815010,"1505,74","1334,2",19768,982,4.967624443545123,294.16278834479965
2702,Venezia Iuav,1712660,"1930,97","1684,74",4266,225,5.274261603375527,401.46741678387247
2801,Padova,16490109,"1568,98","1401,68",58585,2439,4.163181701800802,281.4732269352223
3001,Udine,9057612,"1467,27","1284,46",14874,882,5.929810407422348,608.9560306575232
3201,Trieste,7289707,"1280,77","1115,98",15063,1222,8.11259377282082,483.9478855473677
3401,Parma,7339585,"1106,84","1007,89",23061,1411,6.1185551363774335,318.2682884523655
3601,Modena e Reggio Emilia,6683273,"1534,08","1361,86",20829,1269,6.092467233184502,320.86384367948534
3701,Bologna,33587136,"1512,33","1305,65",77828,5091,6.541347586986689,431.5559438762399
3801,Ferrara,4114694,"1146,17","1037,97",15515,818,5.272317112471802,265.207476635514
4101,Urbino,5597978,"1339,94","1188,41",13874,930,6.703185815193888,403.48695401470377
4201,Marche,3057121,"1076,14","987,87",15621,669,4.28269637027079,195.70584469624225
4301,Macerata,3522046,"883,83","779,67",9984,423,4.236778846153846,352.76903044871796
4302,Camerino,3471288,"1073,64","916,31",6468,557,8.611626468769327,536.6864564007421
4801,Firenze,15891499,"976,19","902,41",50357,3563,7.075481065194511,315.57676191989196
5001,Pisa,19522148,"1161,2","1010,47",45038,1585,3.5192504107642435,433.4594786624628
5201,Siena,10749768,"1613,86","1398,44",15466,986,6.375274796327428,695.0580628475366
5202,Siena Stranieri,1866913,"1760,5","1314,34",1634,215,13.157894736842104,1142.5416156670747
5401,Perugia,10218908,"1155,75","1025,9",21527,1169,5.4303897431133,474.70190923026894
5403,Perugia Stranieri,1186275,"828,87","570,89",892,353,39.573991031390136,1329.9047085201794
5601,Tuscia,1520677,"1009,62","813,54",7838,208,2.653738198520031,194.01339627455982
5801,Roma La Sapienza,25682437,"1171,23","1051,29",99750,5311,5.324310776942356,257.4680401002506
5802,Roma Tor Vergata,7464849,"1335,72","1229,1",29678,1560,5.256418896152032,251.52803423411282
5803,Roma LUMSA,1009195,"4032,82","3758,84",5882,288,4.896293777626657,171.5734444066644
5805,Roma LUISS,1106860,"8793,34","8387,83",8116,134,1.6510596352883193,136.37999014292754
5806,Roma Foro Italico,474048,"1003,78","924,94",2229,49,2.1982951996410947,212.67294751009422
5807,Roma Tre,6051749,"1023,31","957,86",33944,1443,4.251119490926231,178.2862656139524
5808,Roma Biomedico,260588,"7319,6","7066,6",1680,10,0.5952380952380952,155.11190476190475
5809,Roma UNINT,398858,"4442,31","4023,35",1404,54,3.8461538461538463,284.0868945868946
6001,Cassino,4185215,"805,08","659,71",7830,238,3.0395913154533845,534.5102171136654
6201,Sannio,1127176,"1059,19","971,38",5491,29,0.5281369513749772,205.27699872518667
6301,Napoli Federico II,11487588,"941,01","886,91",77957,387,0.49642751773413546,147.35800505406826
6302,Napoli Parthenope,2001440,"728,88","688,2",13817,75,0.5428095823984946,144.8534414127524
6303,Napoli L'Orientale,1514182,"947,51","835,52",10680,367,3.4363295880149813,141.77734082397004
6304,Napoli Benincasa,1296880,"2393,99","2185,02",8084,39,0.48243443839683325,160.4255319148936
6306,Napoli Vanvitelli,3577167,"1391,51","1273,41",25927,182,0.7019709183476684,137.97072549851507
6501,Salerno,9159734,"923,18","827,67",34978,274,0.7833495339927955,261.87129052547317
6601,L'Aquila,4682606,"675,78","624,8",18137,542,2.988366322986161,258.17974306665934
6701,Teramo,1923180,"1158,3","1052,94",6197,117,1.8880103275778604,310.34048733258027
6901,Chieti e Pescara,10752054,"929,09","832,15",25756,510,1.980121136822488,417.4582233266035
7001,Molise,1657304,"1223,07","1080,22",6953,64,0.9204659859053645,238.3581187976413
7101,Foggia,3554087,"977,39","804,56",9269,91,0.9817671809256662,383.4380192037976
7201,Bari,17314838,"1018,62","848,92",46531,684,1.4699877501020824,372.1140315058778
7202,Bari Politecnico,2815167,"688,22","618,25",9793,85,0.8679669151434698,287.46727254161135
7203,Casamassima - G.Degennaro,30852,"3704,44","3520,45",1237,5,0.4042037186742118,24.940986257073565
7501,Salento,8510096,"932,51","767,86",16980,128,0.7538280329799765,501.18351001177854
7601,Basilicata,2455558,"612,15","516,8",6935,44,0.6344628695025234,354.0819033886085
7801,Calabria,7285777,"782,8","659,48",27370,585,2.1373766898063575,266.1957252466204
7901,Catanzaro,656219,"687,07","569,68",10399,86,0.8270025964035004,63.10404846619867
8001,Reggio Calabria,1356914,"973,68","899,56",6269,41,0.6540118041154889,216.44823735843036
8003,Reggio Calabria - Dante Alighieri,276685,"631,95","537,64",964,76,7.8838174273858925,287.01763485477176
8201,Palermo,14246910,"919,99","863,68",40185,275,0.6843349508523081,354.5330347144457
8301,Messina,4334128,"1022,82","1009,29",23670,251,1.0604140261934938,183.10637938318547
8601,Enna KORE,1549138,"2760,04","2760,04",5789,23,0.3973052340646053,267.6002763862498
8701,Catania,8991901,"741,29","663,47",44623,256,0.5736951796158931,201.50821325325504
9001,Sassari,5660474,"879,94","737,18",12461,196,1.5729074713104887,454.255196212182
9201,Cagliari,18176242,"795,16","641,48",26234,236,0.8995959441945567,692.8505755889304
