uni_id,uni,scholarship16,scholarship17,scholarship18,scholarship19,paidfees16,paidfees17,paidfees18,paidfees19,intstuds16,intstuds17,intstuds18,intstuds19
1010,Torino,219.6508063300678,268.68482359475024,292.9245918125061,295.79458539731326,1374.95,1344.67,1502.08,1430.9,5.588545591559909,5.657537049487007,6.098020866796095,6.165182430670856
1020,Torino Politecnico,461.31805465191934,494.9269713261649,479.8368127390132,478.3446652719665,1093.96,1086.65,1147.08,1239.56,14.121665582303187,13.130440348182283,13.052473199172466,13.56756091557962
2010,Piemonte Orientale,189.9809638777974,218.87032779906343,253.5930596768876,244.12856803985136,1314.37,1326.97,1401.6,1424.04,6.286563283498932,6.283524904214559,6.668315199472469,7.171661263540761
4010,Bra Scienze Gastronomiche,0.0,0.0,0.0,22.23822714681441,10307.32,10060.42,10311.24,10341.61,23.91304347826087,26.645768025078368,28.235294117647054,27.97783933518005
7010,Aosta,799.9078711985688,790.7129367327667,659.5314285714286,974.811339198436,1356.28,1623.7,1667.51,1671.69,4.919499105545617,5.854579792256846,5.714285714285714,6.64711632453568
1001,Genova,286.10843027888444,237.93479918657852,253.30830595964332,290.95166242942514,1445.01,1431.02,1580.28,1584.24,8.341035856573706,8.725216065073717,9.291412482402627,9.324132466074554
1201,Castellanza LIUC,120.72783188108662,97.81225490196078,106.60787102892364,93.18862144420132,6716.98,6680.57,6731.06,6727.35,2.1014864172219374,2.2549019607843137,1.6121384542437174,1.4442013129102844
1202,Insubria,76.53413699864804,70.39262751821688,84.70293678446988,104.98589048775928,1871.42,1929.67,2104.0,2065.27,5.903560162235241,5.904414916416631,5.833748133399701,6.045598953466642
1501,Milano,167.60953499528543,140.16384057849717,193.73092594731023,218.93925170754684,1745.93,1810.29,1752.23,1712.54,5.7401862665630015,6.106359116854422,6.453422194361504,6.932808451936341
1502,Milano Politecnico,292.6057626287396,286.6343308199812,388.8990592597679,433.3358262427228,2102.38,1930.32,2241.13,2263.2,12.005885237861698,13.84071630537229,15.280734280940283,15.367218987908643
1503,Milano Bocconi,334.6449226123065,268.26957570276585,239.7308064636235,167.71892770105606,10166.2,10252.24,10253.15,10256.72,11.189127972819932,13.4674805938654,14.83356914141038,16.741747286020235
1504,Milano Cattolica,284.38970608376474,235.4774335925936,238.10494869463568,254.59358784749205,5207.5,5873.21,5773.75,5860.62,4.804558029966856,5.124202707430632,5.2889985712430185,5.427017271200461
1505,Milano IULM,186.4433962264151,173.64800613496934,206.2297627355199,210.2104,5588.0,5688.99,5901.41,6695.26,4.309605488850772,3.911042944785276,3.681088625261689,4.064
1508,Milano San Raffaele,100.52475247524752,73.68917819365338,117.72356785851596,81.99036746343204,7934.58,7747.95,8329.78,8083.5,4.69220835126991,4.719283970707893,5.228758169934641,5.601141633963611
1509,Milano Bicocca,192.52841652645355,202.2916590284143,170.95720055458438,189.6474386049599,1345.25,1384.18,1470.19,1512.18,5.764317317878732,5.792850595783685,5.7960094038218095,5.671875942798528
1510,Rozzano (MI) Humanitas University,14.66184971098266,9.769961977186313,7.068775790921595,5.468421052631579,7860.27,8390.93,8288.87,8111.93,25.43352601156069,27.18631178707224,26.68500687757909,25.05263157894737
1601,Bergamo,199.61535017588744,171.03142857142856,131.50381299734747,134.9084879954758,1188.95,1156.14,1291.14,1254.57,5.743524144547489,6.083333333333333,6.45446507515473,6.683461004575601
1701,Brescia,324.0959708008302,307.8413326617256,353.0070150322119,267.90283545753977,1281.26,1341.57,1464.06,1434.13,6.863236241322551,7.023098510469886,7.17967072297781,7.153086066160676
1801,Pavia,300.596621910139,339.27788695489426,359.5500885920676,381.0417820069204,1651.64,1728.75,2085.05,2019.42,6.979171608862742,7.294591053715141,7.737040570623779,8.512110726643598
2101,Bolzano,694.06142668428,643.1187367142423,627.6468350991578,620.0548309821667,1176.23,1167.34,1170.22,1172.3,15.686922060766182,14.637109019131492,14.751426242868783,14.266702155975512
2201,Trento,401.1208595000616,396.90421384815295,416.5214369194808,438.9385667594722,1408.93,1463.17,1395.24,1342.64,5.239502524319665,4.844997215518841,4.410407824321831,4.400193681152403
2301,Verona,220.9781324398201,263.4376757668844,293.0006392227052,296.41994635240314,1473.38,1488.88,1426.32,1399.43,5.211180671898422,5.265435036559512,5.169180942640416,4.85027043665626
2701,Venezia C Foscari,294.16278834479965,281.2428477723397,322.3728354978355,389.6923668895195,1505.74,1544.52,1553.9,1537.72,4.967624443545123,5.292900751803825,5.913026367571822,6.6855851089413685
2702,Venezia Iuav,401.46741678387247,285.1575772200772,420.78075,470.5898663977817,1930.97,1862.23,2226.17,2156.7,5.274261603375527,5.574324324324325,6.325,7.108646332240988
2801,Padova,281.4732269352223,259.2052258742826,402.11128143300033,342.66529424775,1568.98,1548.23,1574.08,1583.31,4.163181701800802,4.308933280477085,4.528074405787117,4.882862344114194
3001,Udine,608.9560306575232,393.541697171381,566.7693752935651,665.9640500875186,1467.27,1477.7,1521.16,1614.71,5.929810407422348,6.262895174708818,5.857880963564383,5.4598088057089
3201,Trieste,483.9478855473677,459.16307277628033,576.7872944594862,629.0580523123084,1280.77,1312.03,1420.45,1418.0,8.11259377282082,8.126684636118599,8.069735191177442,7.540277868371274
3401,Parma,318.2682884523655,461.2638255117847,441.8598967575416,502.1280906726701,1106.84,1180.49,1269.64,1466.2,6.1185551363774335,6.229329760957843,6.783352153573157,6.575321197065559
3601,Modena e Reggio Emilia,320.86384367948534,444.8450361010831,394.25184125247256,455.4271685105019,1534.08,1521.04,1551.61,1606.3,6.092467233184502,5.69043321299639,5.765750599722234,5.57960557960558
