Tavola 6 - Popolazione residente, popolazione universitaria (valori assoluti) e quartili delle distanze tra luogo di residenza e comune sede di Ateneo  - Città universitarie. Dicembre 2017;;;;;;;;;;;
;;;;;;;;;;;
Dati di base ;;;;;Popolazione universitaria;;;;;;
Codice Istat comune sede di Ateneo;Denominazione ;Denominazione comune sede di Ateneo;Popolazione residente anagrafica 01/01/2018;;Studenti universitari iscritti nel comune sede di Ateneo (*);Studenti universitari con mobilità all'interno del proprio comune ;Mobilità in entrata da altro comune;;;;Studenti universitari con mobilità in uscita dal proprio comune
;;;;;;;Studenti universitari;Quartili delle distanze tra origine e destinazione (in km);;;
;;;;;;;;;;;
;;;;;;;;Q1 ;Q2;Q3;
058091;"UNIVERSITA' DEGLI STUDI DI ROMA ""LA SAPIENZA"";
UNIVERSITÀ DEGLI STUDI DI ROMA ""TOR VERGATA"";
UNIVERSITÀ DEGLI STUDI ROMA TRE; 
UNIVERSITÀ DEGLI STUDI INTERNAZIONALI DI ROMA (UNINT);  
UNIVERSITA' DEGLI STUDI DI ROMA ""FORO ITALICO"";                                                              UNIVERSITÀ NON STATALE EUROPEA DI ROMA;
LIBERA UNIVERSITÀ DEGLI STUDI ""MARIA SS.ASSUNTA"" ROMA ; 
LIBERA UNIV. INTER.LE STUDI SOCIALI ""GUIDO CARLI"" LUISS-ROMA;                                                                                              UNIVERSITÀ ""CAMPUS BIO-MEDICO"" ROMA;
LINK CAMPUS UNIVERSITY                                           ";Roma;2.872.800;;161.218;70.060;90.857;38,31;98,03;367,35;6.089
060019;UNIVERSITÀ DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE;Cassino;36.497;;5.699;800;4.887;18,00;30,88;43,22;557
061022;SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI;Caserta;75.561;;6.296;578;5.716;12,24;18,64;29,51;2.688
062008;UNIVERSITÀ DEGLI STUDI DEL SANNIO DI BENEVENTO                  ;Benevento;59.789;;4.504;771;3.733;14,76;23,31;29,69;1.403
063049;"UNIVERSITÀ DEGLI STUDI DI NAPOLI ""FEDERICO II"";
UNIVERSITÀ DEGLI STUDI DI NAPOLI ""PARTHENOPE""; 
UNIVERSITÀ DEGLI STUDI DI NAPOLI ""L'ORIENTALE"";                      
UNIVERSITÀ DEGLI STUDI SUOR ORSOLA BENINCASA";Napoli;966.144;;105.038;22.030;82.937;11,34;21,59;43,01;2.956
065052;UNIVERSITÀ DEGLI STUDI DI SALERNO;Fisciano;13.967;;28.975;429;28.532;11,33;22,07;34,19;115
066049;UNIVERSITÀ DEGLI STUDI DE L'AQUILA;L'Aquila;69.439;;11.208;1.867;9.337;41,15;57,73;86,19;766
067041;UNIVERSITÀ DEGLI STUDI DI TERAMO;Teramo;54.338;;3.499;387;3.110;28,91;47,14;95,24;1.388
069022;"UNIVERSITÀ DEGLI STUDI ""G. D'ANNUNZIO"" CHIETI-PESCARA";Chieti;50.770;;12.367;666;11.701;23,26;96,48;233,26;1.053
070006;UNIVERSITÀ DEGLI STUDI DEL MOLISE;Campobasso;49.262;;4.952;689;4.261;27,56;44,67;62,24;1.230
