Tavola 6 - Popolazione residente, popolazione universitaria (valori assoluti) e quartili delle distanze tra luogo di residenza e comune sede di Ateneo  - Città universitarie. Dicembre 2018;;;;;;;;;;;
;;;;;;;;;;;
Dati di base ;;;;;Popolazione universitaria;;;;;;
Codice Istat comune sede di Ateneo;Denominazione ;Denominazione comune sede di Ateneo;Popolazione residente anagrafica 31/12/2018;;Studenti universitari insistenti sul comune sede di Ateneo (*);Studenti universitari con mobilità all'interno del proprio comune ;Mobilità in entrata da altro comune;;;;Studenti universitari con mobilità in uscita dal proprio comune
;;;;;;;Studenti universitari;Quartili delle distanze tra origine e destinazione (in km);;;
;;;;;;;;;;;
;;;;;;;;Q1 ;Q2;Q3;
058091;"UNIVERSITA' DEGLI STUDI DI ROMA ""LA SAPIENZA"";
UNIVERSITÀ DEGLI STUDI DI ROMA ""TOR VERGATA"";
UNIVERSITÀ DEGLI STUDI ROMA TRE; 
UNIVERSITÀ DEGLI STUDI INTERNAZIONALI DI ROMA (UNINT);  
UNIVERSITA' DEGLI STUDI DI ROMA ""FORO ITALICO"";                                                              UNIVERSITÀ NON STATALE EUROPEA DI ROMA;
LIBERA UNIVERSITÀ DEGLI STUDI ""MARIA SS.ASSUNTA"" ROMA ; 
LIBERA UNIV. INTER.LE STUDI SOCIALI ""GUIDO CARLI"" LUISS-ROMA;                                                                                              UNIVERSITÀ ""CAMPUS BIO-MEDICO"" ROMA;
LINK CAMPUS UNIVERSITY                                           ";Roma;2.820.219;;164.933;70.675;93.692;38,31;105,73;379,16;6.483
060019;UNIVERSITÀ DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE;Cassino;36.349;;5.519;859;4.636;18,00;30,88;42,51;582
061022;SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI;Caserta;74.757;;6.306;548;5.755;13,16;18,64;29,43;2.722
062008;UNIVERSITÀ DEGLI STUDI DEL SANNIO DI BENEVENTO                  ;Benevento;58.745;;;734;3.775;15,02;23,53;31,75;1.370
063049;"UNIVERSITÀ DEGLI STUDI DI NAPOLI ""FEDERICO II"";
UNIVERSITÀ DEGLI STUDI DI NAPOLI ""PARTHENOPE""; 
UNIVERSITÀ DEGLI STUDI DI NAPOLI ""L'ORIENTALE"";                      
UNIVERSITÀ DEGLI STUDI SUOR ORSOLA BENINCASA";Napoli;954.318;;109.092;21.955;87.034;11,46;23,39;48,14;2.999
065052;UNIVERSITÀ DEGLI STUDI DI SALERNO;Fisciano;13.800;;28.535;455;28.062;11,33;22,07;34,19;141
066049;UNIVERSITÀ DEGLI STUDI DE L'AQUILA;L'aquila;69.925;;10.723;1.845;8.868;39,04;56,98;82,94;749
067041;UNIVERSITÀ DEGLI STUDI DI TERAMO;Teramo;54.443;;3.330;366;2.963;28,91;47,14;99,38;1.358
069022;"UNIVERSITÀ DEGLI STUDI ""G. D'ANNUNZIO"" CHIETI-PESCARA";Chieti;50.482;;11.877;643;11.233;23,11;91,56;229,01;1.024
070006;UNIVERSITÀ DEGLI STUDI DEL MOLISE;Campobasso;48.675;;4.885;699;4.184;26,82;45,48;62,24;1.207
071024;UNIVERSITÀ DEGLI STUDI DI FOGGIA;Foggia;150.652;;8.018;2.044;5.972;30,10;37,41;63,65;2.215
072006;"UNIVERSITÀ DEGLI STUDI DI BARI ""ALDO MORO"";
POLITECNICO DI BARI";Bari;316.491;;38.542;6.217;32.298;25,65;42,58;68,73;2.124
072015;"UNIVERSITÀ MEDITERRANEA ""JEAN MONNET""";Casamassima;19.459;;;30;1.072;19,48;24,92;55,23;373
075035;UNIVERSITÀ DEGLI STUDI DEL SALENTO;Lecce;93.484;;13.197;1.287;11.907;17,76;34,89;47,91;1.508
076063;UNIVERSITÀ DEGLI STUDI DELLA BASILICATA;Potenza;66.734;;;967;3.311;20,67;33,92;59,31;1.646
078102;UNIVERSITÀ DELLA CALABRIA;Rende;35.196;;22.372;1.469;20.888;21,60;53,10;78,58;592
079023;"UNIVERSITÀ DEGLI STUDI ""MAGNA GRAECIA"" DI CATANZARO";Catanzaro;88.085;;8.883;1.558;7.322;25,17;50,07;71,68;1.730
080063;"UNIVERSITÀ PER STRANIERI ""DANTE ALIGHIERI"" DI REGGIO CALABRIA;                                                                                            UNIVERSITÀ DEGLI STUDI ""MEDITERRANEA"" DI REGGIO CALABRIA";Reggio di Calabria;176.299;;4.831;2.055;2.774;24,42;42,32;69,19;4.344
082053;UNIVERSITÀ DEGLI STUDI DI PALERMO;Palermo;652.720;;35.583;13.963;21.613;22,65;56,57;85,18;3.996
083048;UNIVERSITÀ DEGLI STUDI DI MESSINA;Messina;229.280;;19.027;5.295;13.721;27,36;49,76;87,06;1.719
086009;"LIBERA UNIVERSITÀ DELLA SICILIA CENTRALE ""KORE"" SEDE ENNA";Enna;26.726;;4.261;243;4.017;29,71;55,86;76,55;592
087015;UNIVERSITÀ DEGLI STUDI DI CATANIA;Catania;297.752;;32.148;5.339;26.797;13,86;34,88;66,20;1.866
090064;UNIVERSITÀ DEGLI STUDI DI SASSARI;Sassari;125.998;;8.897;2.420;6.470;18,15;40,29;82,92;1.029
092009;UNIVERSITÀ DEGLI STUDI DI CAGLIARI;Cagliari;151.504;;19.717;3.559;16.153;7,06;12,77;97,86;975
;;Totale;13.152.773;;1.171.833;252.633;927.574;;;;88.217
;;;;;;;;;;;
"Nota: per le elaborazioni relative a questa Tavola non sono stati considerati: 1) gli Atenei Telematici (Undici Atenei riconosciuti dal Miur); 2) gli studenti lavoratori (classificati come lavoratori nella base dati)  ";;;;;;;;;;;
(*) Nel totale della popolazione insistente sono inclusi anche individui il cui comune di origine non rientra nella classificazione ufficiale Istat dei Comuni Italiani;;;;;;;;;;;
