Tavola 6 - Popolazione residente, popolazione universitaria (valori assoluti) e quartili delle distanze tra luogo di residenza e comune sede di Ateneo  - Città universitarie. Dicembre 2019;;;;;;;;;;;
;;;;;;;;;;;
Dati di base ;;;;;Popolazione universitaria;;;;;;
Codice Istat comune sede di Ateneo;Denominazione ;Denominazione comune sede di Ateneo;Popolazione residente anagrafica 31/12/2019;;Studenti universitari insistenti sul comune sede di Ateneo (*);Studenti universitari con mobilità all'interno del proprio comune ;Mobilità in entrata da altro comune;;;;Studenti universitari con mobilità in uscita dal proprio comune
;;;;;;;Studenti universitari;Quartili delle distanze tra origine e destinazione (in km);;;
;;;;;;;;;;;
;;;;;;;;Q1 ;Q2;Q3;
058091;"UNIVERSITA' DEGLI STUDI DI ROMA ""LA SAPIENZA"";
UNIVERSITÀ DEGLI STUDI DI ROMA ""TOR VERGATA"";
UNIVERSITÀ DEGLI STUDI ROMA TRE; 
UNIVERSITÀ DEGLI STUDI INTERNAZIONALI DI ROMA (UNINT);  
UNIVERSITA' DEGLI STUDI DI ROMA ""FORO ITALICO"";                                                              UNIVERSITÀ NON STATALE EUROPEA DI ROMA;
LIBERA UNIVERSITÀ DEGLI STUDI ""MARIA SS.ASSUNTA"" ROMA ; 
LIBERA UNIV. INTER.LE STUDI SOCIALI ""GUIDO CARLI"" LUISS-ROMA;                                                                                              UNIVERSITÀ ""CAMPUS BIO-MEDICO"" ROMA;
LINK CAMPUS UNIVERSITY;                                                                                                              UNICAMILLUS - INTERNATIONAL UNIVERSITY OF HEALTH AND MEDICAL SCIENCES";Roma;2.780.728;;161.714;68.793;92.138;38,77;109,75;389,58;6.557
060019;UNIVERSITÀ DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE;Cassino;36.106;;5.409;947;4.436;18,00;30,89;43,22;557
061022;SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI;Caserta;73.589;;6.051;479;5.571;13,16;18,75;29,85;2.612
062008;UNIVERSITÀ DEGLI STUDI DEL SANNIO DI BENEVENTO                  ;Benevento;57.755;;4.207;666;3.541;14,77;23,65;33,99;1.303
063049;"UNIVERSITÀ DEGLI STUDI DI NAPOLI ""FEDERICO II"";
UNIVERSITÀ DEGLI STUDI DI NAPOLI ""PARTHENOPE""; 
UNIVERSITÀ DEGLI STUDI DI NAPOLI ""L'ORIENTALE"";                      
UNIVERSITÀ DEGLI STUDI SUOR ORSOLA BENINCASA";Napoli;944.812;;111.161;21.180;89.871;11,91;24,93;63,64;2.847
065052;UNIVERSITÀ DEGLI STUDI DI SALERNO;Fisciano;13.755;;27.305;446;26.838;11,33;22,07;33,88;118
066049;UNIVERSITÀ DEGLI STUDI DE L'AQUILA;L'aquila;69.293;;10.813;1.858;8.945;42,49;62,07;91,27;711
067041;UNIVERSITÀ DEGLI STUDI DI TERAMO;Teramo;53.800;;3.125;372;2.751;26,41;47,14;98,30;1.246
069022;"UNIVERSITÀ DEGLI STUDI ""G. D'ANNUNZIO"" CHIETI-PESCARA";Chieti;49.977;;11.430;654;10.773;23,05;89,53;229,74;970
070006;UNIVERSITÀ DEGLI STUDI DEL MOLISE;Campobasso;47.882;;4.701;674;4.026;27,56;45,48;64,20;1.112
071024;UNIVERSITÀ DEGLI STUDI DI FOGGIA;Foggia;149.097;;7.569;1.865;5.704;29,72;37,41;63,65;2.004
072006;"UNIVERSITÀ DEGLI STUDI DI BARI ""ALDO MORO"";
POLITECNICO DI BARI";Bari;313.906;;35.797;5.674;30.097;25,65;42,58;68,73;2.066
072015;"UNIVERSITÀ MEDITERRANEA ""JEAN MONNET""";Casamassima;19.444;;1.163;23;1.140;19,48;24,92;55,23;350
075035;UNIVERSITÀ DEGLI STUDI DEL SALENTO;Lecce;93.141;;13.375;1.296;12.077;17,76;35,86;47,91;1.387
076063;UNIVERSITÀ DEGLI STUDI DELLA BASILICATA;Potenza;65.477;;3.852;901;2.951;20,19;33,92;57,77;1.509
078102;UNIVERSITÀ DELLA CALABRIA;Rende;35.634;;17.715;1.204;16.502;19,57;51,63;77,79;564
079023;"UNIVERSITÀ DEGLI STUDI ""MAGNA GRAECIA"" DI CATANZARO";Catanzaro;87.081;;9.351;1.662;7.687;25,17;50,07;72,59;1.549
080063;"UNIVERSITÀ PER STRANIERI ""DANTE ALIGHIERI"" DI REGGIO CALABRIA;                                                                                            UNIVERSITÀ DEGLI STUDI ""MEDITERRANEA"" DI REGGIO CALABRIA";Reggio di Calabria;174.366;;4.621;1.978;2.628;24,42;42,38;69,42;4.047
082053;UNIVERSITÀ DEGLI STUDI DI PALERMO;Palermo;643.394;;34.766;13.153;21.608;22,65;57,80;85,40;3.833
083048;UNIVERSITÀ DEGLI STUDI DI MESSINA;Messina;226.580;;18.403;4.975;13.414;27,67;52,37;89,69;1.591
086009;"LIBERA UNIVERSITÀ DELLA SICILIA CENTRALE ""KORE"" SEDE ENNA";Enna;26.265;;4.227;266;3.960;27,07;55,86;76,55;556
087015;UNIVERSITÀ DEGLI STUDI DI CATANIA;Catania;294.856;;31.009;5.158;25.841;13,49;33,30;65,33;1.848
090064;UNIVERSITÀ DEGLI STUDI DI SASSARI;Sassari;124.640;;8.600;2.390;6.205;18,15;47,74;86,38;1.001
092009;UNIVERSITÀ DEGLI STUDI DI CAGLIARI;Cagliari;150.139;;18.254;3.189;15.060;7,06;12,77;98,80;890
;;Totale;13.000.005;;1.132.390;241.425;884.654;;;;85.051
;;;;;;;;;;;
"Nota: per le elaborazioni relative a questa Tavola non sono stati considerati: 1) gli Atenei Telematici (Undici Atenei riconosciuti dal Miur); 2) gli studenti lavoratori (classificati come lavoratori nella base dati)  ";;;;;;;;;;;
(*) Nel totale della popolazione insistente sono inclusi anche individui il cui comune di origine non rientra nella classificazione ufficiale Istat dei Comuni Italiani;;;;;;;;;;;
