Tavola 6 - Popolazione residente, popolazione universitaria (valori assoluti) e quartili delle distanze tra luogo di residenza e comune sede di Ateneo  - Città universitarie. Dicembre 2016;;;;;;;;;;;
;;;;;;;;;;;
Dati di base ;;;;;Popolazione universitaria;;;;;;
Codice Istat comune sede di Ateneo;Denominazione ;Denominazione comune sede di Ateneo;Popolazione residente anagrafica 01/01/2017;;Studenti universitari iscritti nel comune sede di Ateneo (*);Studenti universitari con mobilità all'interno del proprio comune ;Mobilità in entrata da altro comune;;;;Studenti universitari con mobilità in uscita dal proprio comune
;;;;;;;Studenti universitari;Quartili delle distanze tra origine e destinazione (in km);;;
;;;;;;;;;;;
;;;;;;;;Q1 ;Q2;Q3;
058091;"UNIVERSITA' DEGLI STUDI DI ROMA ""LA SAPIENZA"";
UNIVERSITÀ DEGLI STUDI DI ROMA ""TOR VERGATA"";
UNIVERSITÀ DEGLI STUDI ROMA TRE; 
UNIVERSITÀ DEGLI STUDI INTERNAZIONALI DI ROMA (UNINT);  
UNIVERSITA' DEGLI STUDI DI ROMA ""FORO ITALICO"";                                                              UNIVERSITÀ NON STATALE EUROPEA DI ROMA;
LIBERA UNIVERSITÀ DEGLI STUDI ""MARIA SS.ASSUNTA"" ROMA ; 
LIBERA UNIV. INTER.LE STUDI SOCIALI ""GUIDO CARLI"" LUISS-ROMA;                                                                                              UNIVERSITÀ ""CAMPUS BIO-MEDICO"" ROMA;
LINK CAMPUS UNIVERSITY                                           ";Roma;2.873.494;;166.622;70.437;95.262;40,66;104,51;374,84;6.075
060019;UNIVERSITÀ DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE;Cassino;36.460;;6.240;785;5.437;18,00;30,88;43,22;584
061022;SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI;Caserta;76.126;;6.730;634;6.092;12,24;18,62;28,99;2.770
062008;UNIVERSITÀ DEGLI STUDI DEL SANNIO DI BENEVENTO                  ;Benevento;59.945;;5.216;861;4.352;15,14;23,64;31,75;1.458
063049;"UNIVERSITÀ DEGLI STUDI DI NAPOLI ""FEDERICO II"";
UNIVERSITÀ DEGLI STUDI DI NAPOLI ""PARTHENOPE""; 
UNIVERSITÀ DEGLI STUDI DI NAPOLI ""L'ORIENTALE"";                      
UNIVERSITÀ DEGLI STUDI SUOR ORSOLA BENINCASA";Napoli;970.185;;105.997;22.843;82.938;11,34;21,17;37,68;2.982
065052;UNIVERSITÀ DEGLI STUDI DI SALERNO;Fisciano;13.971;;29.420;443;28.947;11,33;22,04;34,53;114
066049;UNIVERSITÀ DEGLI STUDI DE L'AQUILA;L'Aquila;69.605;;13.095;1.981;11.077;42,49;62,36;92,00;787
067041;UNIVERSITÀ DEGLI STUDI DI TERAMO;Teramo;54.775;;3.737;410;3.318;26,72;47,14;100,79;1.465
069022;"UNIVERSITÀ DEGLI STUDI ""G. D'ANNUNZIO"" CHIETI-PESCARA";Chieti;51.330;;13.414;694;12.694;23,11;91,48;222,58;1.124
070006;UNIVERSITÀ DEGLI STUDI DEL MOLISE;Campobasso;49.320;;5.083;721;4.357;27,56;45,57;61,96;1.233
071024;UNIVERSITÀ DEGLI STUDI DI FOGGIA;Foggia;151.726;;8.134;2.180;5.924;29,72;37,41;63,21;2.303
072006;"UNIVERSITÀ DEGLI STUDI DI BARI ""ALDO MORO"";
POLITECNICO DI BARI";Bari;324.198;;41.829;6.696;35.072;25,65;42,58;68,73;1.905
072015;"UNIVERSITÀ MEDITERRANEA ""JEAN MONNET""";Casamassima;19.846;;1.078;22;1.051;19,48;32,51;55,23;367
