_id;ANNO_ACCADEMICO;COD_Ateneo;NOME_ATENEO;TASSA_MEDIA_PAGANTI_LAUREA;TASSA_MEDIA_TOTALE_ISCRITTI_LAUREA
82;2015-2016;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";926,36;878,45
83;2015-2016;07001;Campobasso - Università degli studi del Molise;1223,07;1080,22
84;2015-2016;07101;Foggia - Università degli studi;977,39;804,56
85;2015-2016;07201;Bari - Università degli studi;1018,62;848,92
86;2015-2016;07202;Bari - Politecnico;688,22;618,25
87;2015-2016;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";3704,44;3520,45
88;2015-2016;07501;Lecce - Università del Salento;932,51;767,86
89;2015-2016;07601;Potenza - Università degli studi della Basilicata;612,15;516,8
90;2015-2016;07801;Arcavacata di Rende - Università della Calabria;782,8;659,48
91;2015-2016;07901;"Catanzaro - Università degli studi ""Magna Grecia""";687,07;569,68
92;2015-2016;08001;Reggio Calabria - Università degli studi Mediterranea;973,68;899,56
93;2015-2016;08003;Reggio Calabria - Università per Stranieri;631,95;537,64
94;2015-2016;08201;Palermo - Università degli studi;919,99;863,68
95;2015-2016;08301;Messina - Università degli studi;1022,82;1009,29
96;2015-2016;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";2760,04;2760,04
97;2015-2016;08701;Catania - Università degli studi;741,29;663,47
98;2015-2016;09001;Sassari - Università degli studi;879,94;737,18
99;2015-2016;09201;Cagliari - Università degli studi;795,16;641,48
