_id,AnnoA,AteneoCOD,AteneoNOME,Isc_S
148,2020/2021,5813,Roma UNINETTUNO - telematica,908
149,2020/2021,5814,Roma  Mercatorum - telematica,454
150,2020/2021,5815,Roma UNICUSANO - telematica,655
151,2020/2021,5816,Roma San Raffaele - telematica,100
152,2020/2021,5817,Roma Link Campus,40
153,2020/2021,5818,Roma Saint Camillus,345
154,2020/2021,6001,Cassino,764
155,2020/2021,6201,Sannio,30
156,2020/2021,6202,Benevento Giustino Fortunato - telematica,30
157,2020/2021,6301,Napoli Federico II,730
158,2020/2021,6302,Napoli Parthenope,96
159,2020/2021,6303,Napoli L'Orientale,428
160,2020/2021,6304,Napoli Benincasa,51
161,2020/2021,6306,Napoli Vanvitelli,410
162,2020/2021,6307,Napoli Pegaso - telematica,843
163,2020/2021,6501,Salerno,428
164,2020/2021,6601,L'Aquila,579
165,2020/2021,6701,Teramo,127
166,2020/2021,6901,Chieti e Pescara,564
167,2020/2021,7001,Molise,86
168,2020/2021,7101,Foggia,130
169,2020/2021,7201,Bari,721
170,2020/2021,7202,Bari Politecnico,115
171,2020/2021,7203,Casamassima - G.Degennaro,6
172,2020/2021,7501,Salento,233
173,2020/2021,7601,Basilicata,50
174,2020/2021,7801,Calabria,964
175,2020/2021,7901,Catanzaro,172
176,2020/2021,8001,Reggio Calabria,107
177,2020/2021,8003,Reggio Calabria - Dante Alighieri,112
178,2020/2021,8201,Palermo,580
179,2020/2021,8301,Messina,815
180,2020/2021,8601,Enna KORE,31
181,2020/2021,8701,Catania,486
182,2020/2021,9001,Sassari,289
183,2020/2021,9201,Cagliari,388
184,2019/2020,101,Torino,4769
185,2019/2020,102,Torino Politecnico,4688
186,2019/2020,201,Piemonte Orientale,952
187,2019/2020,401,Bra Scienze Gastronomiche,110
188,2019/2020,701,Aosta,62
189,2019/2020,1001,Genova,3088
190,2019/2020,1201,Castellanza LIUC,45
191,2019/2020,1202,Insubria,712
192,2019/2020,1301,Novedrate e-Campus - telematica,593
193,2019/2020,1501,Milano,4551
194,2019/2020,1502,Milano Politecnico,7151
195,2019/2020,1503,Milano Bocconi,2444
196,2019/2020,1504,Milano Cattolica,2271
